RespId,weight,Q29_1,voter_category
476998,0.8472,-1,sporadic
470022,0.8473,NA,always
470289,0.8473,NA,sporadic
470582,0.8473,NA,sporadic
471307,0.8473,NA,sporadic
471519,0.8473,NA,always
472794,0.8473,NA,sporadic
473268,0.8473,NA,always
473753,0.8473,NA,sporadic
473757,0.8473,-1,rarely/never
474168,0.8473,NA,always
474262,0.8473,NA,always
474290,0.8473,NA,always
476303,0.8473,NA,sporadic
477174,0.8473,NA,always
480841,0.8473,NA,always
483183,0.8473,NA,rarely/never
473825,0.8477,NA,always
470286,0.8489,NA,sporadic
473701,0.8489,NA,sporadic
475138,0.8489,NA,always
475949,0.8489,NA,rarely/never
476383,0.8489,NA,always
471504,0.8498,NA,sporadic
476969,0.8502,NA,always
474846,0.851,NA,always
475856,0.851,NA,sporadic
477369,0.851,NA,sporadic
470133,0.8516,NA,always
472610,0.8516,NA,always
473151,0.8518,-1,sporadic
476398,0.8518,1,rarely/never
471158,0.852,NA,always
476882,0.852,1,sporadic
474974,0.8521,NA,sporadic
470885,0.8526,NA,rarely/never
472295,0.8526,-1,rarely/never
470411,0.853,NA,always
470630,0.853,NA,always
470696,0.853,NA,sporadic
470962,0.853,NA,always
471735,0.853,NA,rarely/never
472002,0.853,NA,always
473205,0.853,NA,always
474273,0.853,NA,always
475082,0.853,NA,sporadic
475374,0.8531,-1,rarely/never
481359,0.8532,NA,sporadic
470700,0.8535,NA,always
470958,0.8535,NA,always
471261,0.8535,NA,always
471754,0.8535,NA,always
471869,0.8535,NA,always
472784,0.8535,NA,always
472876,0.8535,NA,always
472951,0.8535,NA,always
473249,0.8535,NA,always
474992,0.8535,NA,always
484314,0.8538,NA,sporadic
475118,0.8558,NA,always
472129,0.8561,NA,rarely/never
470826,0.8576,NA,always
473731,0.8576,-1,rarely/never
474282,0.8576,NA,sporadic
475199,0.8579,NA,sporadic
475751,0.8579,NA,always
475882,0.8584,NA,sporadic
477087,0.8584,NA,sporadic
477392,0.8595,NA,always
475243,0.8599,NA,sporadic
474840,0.86,NA,sporadic
476270,0.861,NA,sporadic
472911,0.8616,-1,sporadic
471686,0.8618,NA,always
472059,0.8618,NA,sporadic
474764,0.8618,NA,sporadic
475464,0.862,NA,always
475715,0.862,NA,rarely/never
476187,0.862,NA,rarely/never
483796,0.862,NA,rarely/never
471806,0.8628,NA,always
476010,0.8628,NA,sporadic
472205,0.8636,NA,sporadic
475009,0.8636,NA,sporadic
475234,0.8636,NA,sporadic
475252,0.8636,NA,rarely/never
475620,0.8636,-1,rarely/never
475826,0.8636,NA,always
476629,0.8636,NA,always
477266,0.8636,NA,always
477492,0.8636,-1,rarely/never
477600,0.8636,NA,rarely/never
485816,0.8636,NA,sporadic
487336,0.8636,NA,rarely/never
473166,0.8637,NA,sporadic
476944,0.8637,-1,rarely/never
484110,0.8637,-1,sporadic
477449,0.8649,NA,sporadic
472745,0.8652,-1,rarely/never
476346,0.8652,NA,always
484465,0.8652,NA,always
477016,0.8654,NA,sporadic
470444,0.8657,NA,always
470959,0.8657,NA,always
471681,0.8657,NA,sporadic
474040,0.8657,NA,rarely/never
474059,0.8657,-1,rarely/never
474835,0.8658,-1,sporadic
470350,0.867,NA,sporadic
470791,0.867,NA,always
472131,0.867,NA,sporadic
472696,0.8675,-1,rarely/never
475509,0.8675,NA,sporadic
476027,0.8675,-1,rarely/never
470742,0.8678,NA,always
470995,0.8678,NA,sporadic
471369,0.8678,NA,sporadic
471819,0.8678,NA,sporadic
472511,0.8678,NA,always
472727,0.8678,NA,always
474067,0.8678,NA,sporadic
474498,0.8678,NA,always
474654,0.8678,NA,always
476247,0.8678,NA,always
476808,0.8678,NA,always
485491,0.8678,NA,sporadic
471392,0.8679,NA,sporadic
476012,0.868,NA,sporadic
470191,0.8681,NA,always
471962,0.8681,NA,sporadic
472817,0.8681,NA,sporadic
473384,0.8681,NA,sporadic
477224,0.8681,NA,sporadic
477324,0.8681,NA,always
470377,0.8683,NA,always
470585,0.8683,NA,sporadic
470856,0.8683,NA,always
470895,0.8683,NA,sporadic
471705,0.8683,NA,sporadic
472716,0.8683,-1,sporadic
472813,0.8683,NA,sporadic
474062,0.8683,NA,sporadic
474207,0.8683,NA,always
474673,0.8683,NA,sporadic
475473,0.8683,NA,always
476231,0.8683,NA,sporadic
476280,0.8683,NA,sporadic
476841,0.8683,NA,always
481030,0.8683,NA,always
471501,0.8688,NA,rarely/never
475593,0.8688,NA,rarely/never
475794,0.8688,NA,rarely/never
477653,0.8688,-1,rarely/never
487941,0.8688,-1,rarely/never
473933,0.869,NA,always
471830,0.8691,-1,sporadic
473740,0.8694,1,always
474701,0.8694,NA,rarely/never
475420,0.8694,NA,always
477077,0.8698,NA,sporadic
470216,0.8699,NA,always
470391,0.8699,NA,always
470727,0.8699,NA,always
471121,0.8699,NA,always
472146,0.8699,NA,sporadic
472325,0.8699,NA,always
472764,0.8699,NA,always
473506,0.8699,NA,always
473606,0.8699,NA,rarely/never
474279,0.8699,NA,sporadic
474460,0.8699,NA,sporadic
474810,0.8699,-1,rarely/never
474934,0.8699,NA,sporadic
475159,0.8699,NA,always
475285,0.8699,NA,always
475330,0.8699,NA,rarely/never
475483,0.8699,NA,always
475543,0.8699,NA,sporadic
475653,0.8699,NA,always
475666,0.8699,-1,sporadic
475692,0.8699,NA,always
475803,0.8699,-1,rarely/never
475865,0.8699,NA,always
476773,0.8699,NA,always
476881,0.8699,-1,sporadic
477390,0.8699,NA,rarely/never
477590,0.8699,NA,sporadic
485335,0.8699,NA,always
476671,0.8709,NA,rarely/never
474836,0.8713,-1,always
471012,0.8718,NA,sporadic
471317,0.8718,NA,sporadic
471775,0.8718,NA,sporadic
472403,0.8718,NA,rarely/never
472420,0.8718,NA,sporadic
472441,0.8718,NA,rarely/never
474167,0.8718,NA,sporadic
474356,0.8718,1,rarely/never
474814,0.8718,NA,sporadic
481317,0.872,-1,rarely/never
471185,0.8723,NA,sporadic
477428,0.8724,1,sporadic
470109,0.8728,NA,rarely/never
471238,0.8728,NA,always
472522,0.8728,NA,sporadic
473319,0.8728,NA,always
473762,0.8728,NA,always
473773,0.8728,NA,sporadic
474053,0.8728,NA,always
477367,0.8728,NA,sporadic
485361,0.8728,1,rarely/never
477322,0.8731,-1,rarely/never
470148,0.8741,NA,always
470217,0.8741,NA,always
471738,0.8741,NA,rarely/never
477434,0.8741,NA,sporadic
477646,0.8741,NA,always
476207,0.8743,NA,always
477109,0.8743,-1,rarely/never
471640,0.8744,NA,always
472842,0.8744,NA,always
474500,0.8744,NA,always
477393,0.8744,NA,sporadic
482769,0.8744,NA,always
470121,0.8746,NA,always
470708,0.8746,NA,always
471095,0.8746,NA,sporadic
471133,0.8746,NA,always
471898,0.8746,NA,sporadic
471972,0.8746,NA,sporadic
473310,0.8746,NA,sporadic
473971,0.8746,NA,always
475470,0.8746,NA,sporadic
477377,0.8746,NA,always
477425,0.8746,NA,rarely/never
472353,0.8747,NA,always
475247,0.8747,NA,always
476168,0.8747,NA,sporadic
477217,0.8747,NA,sporadic
485140,0.8747,NA,sporadic
471457,0.8749,NA,sporadic
471540,0.8755,NA,sporadic
473972,0.8755,NA,sporadic
470239,0.876,-1,sporadic
475356,0.876,NA,sporadic
470671,0.8762,NA,always
476734,0.8766,1,rarely/never
474893,0.8768,1,rarely/never
475804,0.8768,-1,rarely/never
475825,0.8768,NA,always
476382,0.8768,1,rarely/never
476794,0.8768,NA,always
477408,0.8768,-1,rarely/never
472333,0.8789,NA,sporadic
470228,0.8791,NA,sporadic
472851,0.8791,NA,rarely/never
473128,0.8791,NA,sporadic
475526,0.8791,NA,sporadic
477583,0.8791,NA,always
470050,0.8795,NA,always
473644,0.8795,-1,rarely/never
473074,0.8802,NA,sporadic
474449,0.8802,NA,rarely/never
475198,0.8802,NA,rarely/never
475698,0.8802,-1,always
476719,0.8802,1,always
476970,0.8802,1,rarely/never
485177,0.8802,NA,always
474991,0.8813,NA,sporadic
481096,0.8813,-1,sporadic
471297,0.8816,NA,always
472228,0.8816,NA,always
472329,0.8816,NA,always
473206,0.8816,NA,always
474023,0.8816,NA,always
475422,0.8816,NA,sporadic
476399,0.8816,NA,always
471033,0.8823,NA,always
474528,0.8824,-1,sporadic
473204,0.8826,1,rarely/never
472993,0.8828,NA,always
474656,0.8828,-1,rarely/never
471202,0.883,NA,sporadic
472800,0.883,NA,always
473941,0.883,NA,sporadic
473974,0.883,NA,sporadic
472863,0.8834,NA,always
474845,0.8834,NA,sporadic
477129,0.8834,NA,sporadic
474404,0.8842,NA,sporadic
470674,0.8844,NA,sporadic
474962,0.8849,NA,sporadic
470140,0.885,NA,sporadic
470212,0.885,NA,always
470570,0.885,-1,rarely/never
470583,0.885,NA,always
470621,0.885,NA,sporadic
471076,0.885,NA,always
471290,0.885,NA,always
471592,0.885,NA,always
473136,0.885,NA,always
473855,0.885,NA,always
473951,0.885,NA,sporadic
474099,0.885,NA,always
474332,0.885,NA,always
476054,0.885,NA,always
476700,0.885,NA,rarely/never
477508,0.885,NA,always
473906,0.8863,-1,rarely/never
472010,0.8864,NA,sporadic
474026,0.8864,NA,sporadic
474043,0.8864,NA,sporadic
470820,0.8865,NA,always
474536,0.8865,NA,rarely/never
477046,0.8865,-1,sporadic
477570,0.8865,NA,sporadic
472362,0.8884,NA,sporadic
472095,0.8885,-1,rarely/never
473022,0.8885,NA,sporadic
477274,0.8885,NA,sporadic
475522,0.8896,-1,rarely/never
476444,0.8896,NA,rarely/never
472423,0.8905,NA,sporadic
473099,0.8905,NA,sporadic
475139,0.8905,NA,always
477431,0.8905,NA,rarely/never
480904,0.891,-1,rarely/never
471054,0.8912,NA,always
471224,0.8912,NA,always
471769,0.8912,NA,sporadic
472032,0.8912,NA,sporadic
472645,0.8912,NA,always
474022,0.8912,NA,always
476308,0.8912,NA,rarely/never
470469,0.8913,NA,always
471350,0.8913,NA,sporadic
472899,0.8913,NA,sporadic
473062,0.8913,NA,always
473300,0.8913,NA,always
474711,0.8913,NA,sporadic
475598,0.8913,NA,sporadic
471491,0.8918,NA,sporadic
471931,0.892,NA,always
475723,0.892,NA,always
475750,0.892,NA,rarely/never
476212,0.892,NA,sporadic
471822,0.8926,1,sporadic
474360,0.8926,NA,rarely/never
470637,0.8928,NA,always
470222,0.8937,NA,sporadic
477539,0.8937,NA,sporadic
475358,0.894,-1,sporadic
476203,0.8942,-1,always
487935,0.8945,NA,sporadic
470275,0.8951,NA,always
